Probeset	GeneSymbole	Signal
1552870_s_at	C1orf125	11.76531265
1552872_at	NCRNA00105	66.41296888
1552873_s_at	NCRNA00105	82.00023705
1552875_a_at	CD200R1	19.32952243
1552876_at	C21orf89	5.186699871
1552877_s_at	C21orf89	22.88024135
1552878_at	ATOH7	20.20475021
1552879_a_at	ATOH7	40.34575638
1552880_at	SEC16B	79.0018318
1552882_a_at	FAM123B	92.11758028
1552884_at	NKX6-3	12.95795119
1552885_a_at	NKX6-3	70.53407934
1552887_at	C10orf27	128.2374533
1552889_a_at	EXOC3L2	315.4767898
1552890_a_at	CABP4	6.377273523
1552892_at	TNFRSF13C	10.29991965
1552893_at	CAMK2N2	45.90127189
1552895_a_at	C21orf99	63.23403916
1552897_a_at	KCNG3	39.45455961
1552898_a_at	KCNG3	16.86521224
1552899_at	RP4-662A9.2	106.9827169
1552900_a_at	RP4-662A9.2	43.96470175
1552902_a_at	FOXP2	43.07298704
1552903_at	B4GALNT2	59.92387274
1552904_at	NETO1	0.973519719
1552906_at	FMR1NB	31.36262147
1552908_at	C1orf150	37.96495386
1552910_at	SIGLEC11	77.32955827
1552911_at	SIGLEC11	9.467675107
1552912_a_at	IL23R	10.75954034
1552913_at	MAGEB18	23.32305235
1552914_a_at	CD276	29.79151865
1552915_at	IL28A	108.7568237
1552917_at	IL29	162.0263023
1552919_at	C4orf36	82.67735221
1552921_a_at	FIGNL1	155.936426
1552922_at	RIMS1	38.10994741
1552923_a_at	PITPNM2	126.9760231
1552924_a_at	PITPNM2	36.45207527
1552925_at	PCDH10	16.08209702
1552927_at	TAB3	11.1710474
1552928_s_at	TAB3	74.58383413
1552929_at	GRK7	51.57614241
1552930_at	MMEL1	387.7651598
1552931_a_at	PDE8A	305.2184622
1552932_at	NLRP6	14.23228375
1552933_at	AKNAD1	26.88013445
1552935_at	ZCCHC5	119.2508621
1552937_s_at	ATRIP	159.5102312
1552938_at	ZIC5	59.65673193
1552939_at	ANGPT1	36.88058403
1552940_at	TEDDM1	61.39085521
1552942_at	FLJ30430	237.8211519
1552943_at	GABRG1	26.95430672
1552944_a_at	PANX2	53.22967391
1552946_at	ZNF114	68.28964248
1552947_x_at	ZNF114	85.72848814
1552948_at	CCDC27	27.24499331
1552950_at	C15orf26	71.06975547
1552952_at	RBMY2FP	24.76021512
1552953_a_at	NEUROD2	74.0730136
1552954_at	C5orf17	55.2771253
1552955_at	NA	59.28815005
1552957_at	DNAH6	8.769837522
1552960_at	LRRC15	76.19509941
1552961_at	NA	135.5111208
1552964_at	C10orf93	8.016614741
1552965_a_at	B3GNT7	5.788365504
1552967_at	ZNF645	76.26096747
1552969_a_at	ZMYM6	35.09285425
1552970_s_at	ZMYM6	56.42546791
1552971_at	SGCZ	3.938740361
1552972_at	NA	16.46324152
1552973_at	WNT9B	32.41488961
1552974_at	NA	7.850118137
1552975_x_at	NA	27.1943527
1552976_at	DNAJB13	67.91319581
1552977_a_at	CNPY3	401.4334472
1552978_a_at	SCAMP1	221.2177521
1552979_at	C2orf52	6.908887697
1552980_at	HAS3	103.1611061
1552982_a_at	FGF4	5.750836305
1552985_at	SLC30A8	80.49767597
1552986_at	LOC142937	33.51305217
1552987_a_at	MGC42157	16.2446397
1552988_at	C11orf65	13.67856539
1552990_at	FAM71E2	8.246483239
1552991_at	OR5P2	81.74442224
1552993_at	DYDC1	8.884256327
1552995_at	IL27	45.43606535
1552997_a_at	IQCF1	11.01426198
1552998_at	DEFB125	3.114932205
1552999_a_at	WFDC10B	19.34068576
1553002_at	NA	9.924119936
1553003_at	PKHD1	77.92725706
1553004_at	PKD1L1	43.31325167
1553006_at	GPR112	9.375287249
1553007_a_at	ODZ1	7.359284419
1553009_s_at	REXO1L1	4.96682359
1553011_at	TAF1L	21.68804824
1553013_at	CNTNAP5	32.19633878
1553015_a_at	RECQL4	47.57685616
1553016_at	GPR113	118.0237727
1553019_at	TMC2	108.7919114
1553020_at	SMCR5	164.8818703
1553021_s_at	BICD2	90.34566387
1553022_at	ZIM3	4.471174287
1553023_a_at	NOX5	47.74065093
1553024_at	G30	56.12288751
1553025_at	GPR126	6.659797841
1553027_a_at	KLHL4	12.35453845
1553028_at	GPR156	46.35161851
1553030_a_at	SUOX	419.1613136
1553031_at	GPR115	5.840156159
1553032_at	IL31RA	7.209497755
1553033_at	SYTL5	10.11577559
1553034_at	SDCCAG8	296.2861719
1553036_at	GPR111	3.191041295
1553037_a_at	SYN2	82.49278457
1553039_a_at	ASB10	66.92976082
1553041_at	HTR3C	21.0088924
1553042_a_at	NFKBID	19.23868445
1553043_a_at	CD300LF	20.57385581
1553044_at	GJA10	7.983953729
1553045_at	WNT9A	16.3009462
1553046_s_at	GAL3ST2	45.49403889
1553047_at	PIP4K2B	186.0390795
1553048_a_at	PIP4K2B	145.6288968
1553051_s_at	ODF3	52.61588802
1553052_at	WFDC13	6.277854057
1553053_at	C14orf48	27.45416093
1553055_a_at	SLFN5	43.50051311
1553057_at	SERPINB12	33.07507192
1553058_at	GIPC3	57.99460077
1553059_at	PGLYRP3	11.17907557
1553060_at	PSKH2	18.33983827
1553061_at	OR6W1P	5.712288491
1553062_at	MOGAT1	26.54975634
1553063_at	GPR78	7.44812
1553064_at	H1FOO	26.30523007
1553066_at	TAAR9	6.305104271
1553067_a_at	GNRHR2	80.75082763
1553069_at	C21orf87	15.37274808
1553070_a_at	MYOZ3	486.5174313
1553071_a_at	MYOZ3	365.1722317
1553072_at	BNIPL	23.82445976
1553074_at	ASB11	560.3831311
1553075_a_at	OFCC1	1.865287358
1553076_at	OFCC1	9.312364029
1553077_at	SDR9C7	13.87863856
1553078_at	OR5P3	5.991242563
1553079_at	TRIM40	70.048973
1553080_at	CSN1S2A	31.53188403
1553081_at	WFDC12	52.43335758
1553082_at	CRYGN	13.74056785
1553083_at	NA	46.29753605
1553084_at	STARD6	51.68016755
1553086_at	C11orf40	10.11542218
1553087_at	C18orf12	77.18198769
1553088_a_at	BCL2L11	238.7958889
1553089_a_at	WFDC2	10.08806084
1553093_a_at	DEFB119	10.11836041
1553094_at	TAC4	6.382287351
1553096_s_at	BCL2L11	215.3202721
1553099_at	TIGD1	252.3775969
1553101_a_at	ALKBH5	2507.582427
1553102_a_at	CCDC69	1401.482893
1553103_at	NFX1	2206.667759
1553105_s_at	DSG2	243.033438
1553106_at	C5orf24	119.7897885
1553107_s_at	C5orf24	72.80825701
1553108_at	C5orf24	181.4640225
1553111_a_at	KBTBD6	187.2776251
1553112_s_at	CDK8	337.0495924
1553113_s_at	CDK8	291.6468599
1553114_a_at	PTK6	57.70677553
1553115_at	NKD1	20.02823521
1553117_a_at	STK38	515.293202
1553118_at	THEM4	315.8928509
1553120_at	CLSPN	46.12463953
1553122_s_at	RBAK	70.28688062
1553123_at	WDR62	148.8647643
1553125_x_at	WDR62	21.4212068
1553126_a_at	SLC39A12	15.36971236
1553127_a_at	RNF168	10.55606657
1553129_at	SVEP1	420.7037331
1553130_at	PRO0461	94.56825009
1553131_a_at	GATA4	83.29645197
1553132_a_at	TC2N	221.7759713
1553133_at	C9orf72	131.2371278
1553134_s_at	C9orf72	23.91057285
1553136_at	KCTD18	261.5539964
1553137_s_at	KLF11	147.0412546
1553138_a_at	ANKLE1	40.6705412
1553139_s_at	PLXNA3	89.64369139
1553140_at	PELO	116.718629
1553141_at	C13orf31	89.80996564
1553142_at	C13orf31	17.40707019
1553145_at	FLJ39653	567.863567
1553146_at	C3orf30	73.92655774
1553147_at	RANBP3L	11.96744415
1553148_a_at	SNX13	343.1901153
1553150_at	KDM1B	144.6157242
1553151_at	ATP6V0D2	5.740540594
1553153_at	ATP6V0D2	108.8624864
1553155_x_at	ATP6V0D2	118.4337533
1553156_at	LHX4	10.15763812
1553157_at	LHX4	6.882890245
1553158_at	C3orf34	185.8965633
1553159_at	DNAH11	8.632233016
1553162_x_at	C19orf55	119.8652652
1553163_at	ADPRHL1	899.998931
1553165_at	SYNRG	288.0641858
1553166_at	CDH24	25.32649022
1553167_a_at	SEPSECS	136.8954523
1553168_at	GRIK5	30.14499374
1553169_at	LRRN4	518.2021846
1553171_x_at	LRRN4	572.8766761
1553172_at	ZNF777	319.6641506
1553174_at	JPH2	108.3014063
1553175_s_at	PDE5A	59.79927856
1553176_at	SH2D1B	156.8169239
1553177_at	SH2D1B	539.7975212
1553178_a_at	SSTR3	9.994278242
1553179_at	ADAMTS19	7.496089454
1553180_at	ADAMTS19	3.410502579
1553181_at	DDX31	52.24115558
1553183_at	UMODL1	8.632372886
1553185_at	RASEF	365.0426596
1553186_x_at	RASEF	356.5909709
1553188_s_at	PARD3B	7.657355416
1553190_s_at	PARD3B	175.4951814
1553191_at	DST	32.0948267
1553192_at	ZNF441	43.92796146
1553193_at	ZNF441	102.9159267
1553194_at	NEGR1	89.17273801
1553196_a_at	FCRL3	13.22481698
1553197_at	DCAF4L2	2.072571034
1553199_at	DCAF4L2	6.059753709
1553202_at	STOX1	39.88664409
1553204_at	C20orf200	149.584137
1553205_at	C20orf200	364.6538124
1553207_at	ARL10	88.86932384
1553208_s_at	ARL10	44.94704246
1553209_at	RNFT2	25.01143495
1553211_at	ANKFN1	44.78285595
1553212_at	KRT78	53.64961786
1553213_a_at	KRT78	7.497883665
1553214_a_at	CCDC7	2.549459438
1553215_s_at	CCDC7	35.49688182
1553216_at	ZNF41	158.384172
1553217_s_at	ZNF41	221.6590777
1553218_a_at	ZNF512	705.3836194
1553219_a_at	AMMECR1	54.53867749
1553220_at	FAM117B	19.47293053
1553221_at	ZNF583	195.7858152
1553222_at	OXER1	47.74033596
1553224_at	LUZP1	6.685795302
1553225_s_at	ZNF75D	166.0912259
1553226_at	NCRNA00052	58.96476443
1553227_s_at	BRWD1	354.356782
1553228_at	CCDC89	65.93272896
1553229_at	ZNF572	37.0231959
1553232_at	FAM82A1	12.29671834
1553234_at	ADAMTS18	50.19884098
1553235_at	PCDHAC1	6.263771839
1553237_x_at	PCDHAC1	54.8820905
1553238_a_at	HIPK4	142.4077858
1553239_at	FAM124A	197.014704
1553241_at	NKAIN3	20.44868776
1553243_at	ITIH5	415.1698946
1553244_at	FANCB	30.81847211
1553246_a_at	SGK196	119.7745909
1553247_a_at	ZNF709	91.30950213
1553248_at	CCDC57	46.71925897
1553249_at	SMC1B	55.04798768
1553252_a_at	BRWD3	78.97489432
1553253_at	ASB16	395.1775092
1553254_at	MAGEE2	85.28044346
1553255_at	HERV-V1	45.78809663
1553257_at	GAL3ST3	16.25500369
1553258_at	FLJ30679	16.08308655
1553260_s_at	ALS2CR11	23.57054462
1553261_x_at	ALS2CR11	2.410206116
1553262_a_at	UTS2R	274.6262301
1553263_at	USH1G	18.0215372
1553264_a_at	SYN1	254.7160737
1553265_at	SLC23A3	8.583457245
1553266_at	CNOT6L	2.807093441
1553267_a_at	CNOT6L	14.53059369
